gmat,gpa,wk_xp,app_type,grad_gpa
750,4,3,1,4
750,3.5,6,2,4
650,3.6,3,3,3.9
660,3.4,4,4,3.9
660,4,3,5,3.9
680,3.6,5,2,3.9
690,2.7,4,5,3.9
690,3.7,5,6,3.9
700,3.6,10,7,3.9
710,3.7,4,5,3.9
730,2.8,5,5,3.9
730,2.7,3,2,3.9
750,4,2,4,3.9
770,3.8,5,2,3.9
770,2.9,5,5,3.9
770,3.8,4,4,3.9
770,3.2,8,2,3.9
780,3.8,8,4,3.9
640,3.2,4,5,3.8
650,3.3,4,5,3.8
650,3,8,6,3.8
660,3.5,0,8,3.8
670,3.1,5,9,3.8
670,3.4,3,2,3.8
670,3.8,2,7,3.8
680,3.6,8,10,3.8
690,3.7,4,7,3.8
690,3,12,5,3.8
700,3.6,6,10,3.8
700,3.9,2,2,3.8
710,3.8,6,2,3.8
710,3.6,7,2,3.8
710,3.7,4,2,3.8
710,3.2,7,4,3.8
710,3.9,3,5,3.8
720,3.5,3,5,3.8
720,3.8,4,2,3.8
720,3.1,4,5,3.8
720,4,5,2,3.8
720,2.7,8,5,3.8
720,3.4,6,5,3.8
730,3.2,8,4,3.8
730,3.9,6,1,3.8
730,4,2,5,3.8
730,3,4,2,3.8
730,3.9,7,7,3.8
740,3.6,7,7,3.8
740,3.3,4,2,3.8
740,4,3,4,3.8
740,2.7,3,5,3.8
740,3,3,4,3.8
750,3.8,0,8,3.8
750,3.6,4,7,3.8
750,3.7,7,4,3.8
750,4,14,2,3.8
760,3.4,4,5,3.8
760,3.7,4,2,3.8
770,3.8,1,8,3.8
770,3.3,2,5,3.8
770,3.9,5,5,3.8
620,3.3,7,5,3.7
640,3.4,4,5,3.7
640,3.6,4,2,3.7
640,3.8,5,5,3.7
650,3.8,7,7,3.7
650,3.3,4,11,3.7
650,3.3,7,2,3.7
650,3,4,5,3.7
650,3.1,5,7,3.7
650,3.2,5,5,3.7
650,3.4,1,4,3.7
650,3.3,10,5,3.7
650,3.1,4,2,3.7
650,3.8,5,5,3.7
650,3.6,3,5,3.7
650,3.5,2,4,3.7
650,3.9,5,5,3.7
650,3.3,13,2,3.7
650,3.3,6,12,3.7
650,3.8,3,1,3.7
660,3.4,4,9,3.7
670,3.3,4,7,3.7
670,3.6,3,7,3.7
680,3.5,13,5,3.7
680,3.1,5,5,3.7
680,3.5,4,7,3.7
690,3.3,4,5,3.7
690,3,7,5,3.7
690,3.4,6,7,3.7
690,3.9,1,5,3.7
690,3.6,3,5,3.7
690,3.5,6,2,3.7
700,3,4,4,3.7
700,3.5,7,5,3.7
700,2.7,3,4,3.7
700,3.6,0,8,3.7
700,3.3,3,4,3.7
700,3.6,4,10,3.7
710,3.7,3,5,3.7
710,3.6,4,7,3.7
710,3.7,1,5,3.7
710,3.7,3,2,3.7
710,3.5,7,5,3.7
710,3.5,4,5,3.7
710,3.7,5,5,3.7
710,3.2,7,11,3.7
710,2.9,9,2,3.7
710,3.4,5,3,3.7
710,3.8,1,2,3.7
720,3.5,2,5,3.7
720,3.7,6,2,3.7
720,4,6,2,3.7
720,3.6,2,8,3.7
730,3,6,5,3.7
730,2.9,4,2,3.7
740,3.7,3,5,3.7
740,3.6,3,2,3.7
740,3.3,7,2,3.7
740,3.5,5,2,3.7
740,3.3,4,5,3.7
740,3,5,2,3.7
750,3.5,4,2,3.7
750,3.9,4,7,3.7
760,3.6,4,5,3.7
760,3.6,8,3,3.7
770,3.3,4,5,3.7
580,3.5,6,2,3.6
600,3.3,6,10,3.6
610,3.8,2,7,3.6
620,3,2,7,3.6
620,3.7,5,5,3.6
620,3.2,3,5,3.6
620,3,8,5,3.6
620,3.3,4,5,3.6
620,2.5,6,5,3.6
620,3.2,3,2,3.6
630,3.7,4,5,3.6
630,3.5,4,7,3.6
630,2.9,5,13,3.6
630,3.8,3,9,3.6
630,3.6,6,4,3.6
630,2.5,5,5,3.6
640,2.9,3,4,3.6
640,3.7,4,5,3.6
640,3.4,8,2,3.6
640,2.9,5,4,3.6
640,3.4,2,2,3.6
640,3.3,2,7,3.6
640,3.1,9,5,3.6
640,3.2,3,5,3.6
640,3.3,2,5,3.6
650,3.2,4,5,3.6
650,3.4,5,5,3.6
650,3,7,5,3.6
650,3.5,2,5,3.6
650,3.2,4,4,3.6
650,3.7,3,1,3.6
650,2.8,5,5,3.6
650,3.6,4,2,3.6
650,3.3,4,5,3.6
650,3.4,2,7,3.6
650,3.4,2,2,3.6
650,3.6,4,13,3.6
650,3,0,2,3.6
650,2.9,8,7,3.6
660,3.9,6,5,3.6
660,3.2,2,4,3.6
660,3,4,4,3.6
660,3.3,5,5,3.6
670,3.2,3,4,3.6
670,3.8,3,13,3.6
670,2.8,4,2,3.6
670,2.7,2,6,3.6
680,3.6,5,10,3.6
680,4,2,4,3.6
680,3.6,4,5,3.6
680,3.7,3,7,3.6
680,3.2,2,5,3.6
690,3.8,6,7,3.6
690,3,3,5,3.6
700,3.8,4,5,3.6
700,3.5,5,2,3.6
700,3.7,5,10,3.6
700,3,4,2,3.6
700,3.4,5,5,3.6
700,3.7,4,13,3.6
700,3.1,7,5,3.6
700,3.2,4,5,3.6
700,3.5,7,4,3.6
700,3.4,6,8,3.6
700,3.6,4,7,3.6
700,3.8,4,2,3.6
710,3.1,6,4,3.6
710,3.3,4,2,3.6
710,3.7,7,4,3.6
710,2.8,3,5,3.6
710,3.5,4,5,3.6
710,3.6,4,4,3.6
710,3.6,6,5,3.6
710,2.8,4,4,3.6
710,3.5,3,9,3.6
710,3.3,3,2,3.6
710,3.7,7,5,3.6
710,3.3,4,5,3.6
720,2.6,5,9,3.6
720,3.3,5,5,3.6
720,3.1,3,2,3.6
730,3.5,1,2,3.6
730,4,2,2,3.6
730,3.6,8,5,3.6
730,3.5,7,5,3.6
730,3.1,4,5,3.6
730,3.5,3,2,3.6
730,4,1,2,3.6
740,4,8,5,3.6
740,3.6,4,7,3.6
740,3.8,0,2,3.6
740,3.6,3,4,3.6
740,4,2,4,3.6
750,4,7,5,3.6
760,3.6,1,8,3.6
760,3.3,10,2,3.6
760,3.4,2,2,3.6
760,3.8,5,5,3.6
760,4,3,5,3.6
770,3.8,3,14,3.6
570,3.5,6,6,3.5
600,3.7,2,7,3.5
610,3.7,6,12,3.5
610,3,5,11,3.5
610,3.5,7,2,3.5
610,3.6,4,13,3.5
610,3.7,7,5,3.5
610,3.2,6,5,3.5
620,3.1,8,4,3.5
